Category: All categories

Month,internship: (United States)
2004-01,73
2004-02,70
2004-03,66
2004-04,57
2004-05,41
2004-06,35
2004-07,33
2004-08,33
2004-09,40
2004-10,43
2004-11,48
2004-12,44
2005-01,62
2005-02,67
2005-03,60
2005-04,58
2005-05,41
2005-06,32
2005-07,30
2005-08,30
2005-09,35
2005-10,39
2005-11,40
2005-12,39
2006-01,59
2006-02,59
2006-03,56
2006-04,45
2006-05,32
2006-06,29
2006-07,28
2006-08,28
2006-09,33
2006-10,38
2006-11,35
2006-12,37
2007-01,59
2007-02,61
2007-03,57
2007-04,47
2007-05,35
2007-06,26
2007-07,25
2007-08,27
2007-09,30
2007-10,41
2007-11,42
2007-12,40
2008-01,63
2008-02,63
2008-03,59
2008-04,54
2008-05,39
2008-06,28
2008-07,26
2008-08,29
2008-09,37
2008-10,41
2008-11,42
2008-12,43
2009-01,63
2009-02,70
2009-03,65
2009-04,54
2009-05,41
2009-06,34
2009-07,30
2009-08,32
2009-09,40
2009-10,42
2009-11,46
2009-12,43
2010-01,68
2010-02,71
2010-03,64
2010-04,58
2010-05,42
2010-06,35
2010-07,27
2010-08,29
2010-09,35
2010-10,38
2010-11,40
2010-12,40
2011-01,66
2011-02,68
2011-03,64
2011-04,53
2011-05,43
2011-06,35
2011-07,31
2011-08,32
2011-09,39
2011-10,43
2011-11,44
2011-12,44
2012-01,64
2012-02,67
2012-03,60
2012-04,55
2012-05,44
2012-06,35
2012-07,33
2012-08,37
2012-09,42
2012-10,46
2012-11,45
2012-12,40
2013-01,67
2013-02,74
2013-03,66
2013-04,62
2013-05,53
2013-06,100
2013-07,48
2013-08,47
2013-09,52
2013-10,76
2013-11,78
2013-12,67
2014-01,87
2014-02,81
2014-03,79
2014-04,77
2014-05,54
2014-06,43
2014-07,48
2014-08,49
2014-09,52
2014-10,56
2014-11,55
2014-12,55
2015-01,78
2015-02,76
2015-03,75
2015-04,67
2015-05,48
2015-06,41
2015-07,38
2015-08,39
2015-09,53
2015-10,59
2015-11,54
2015-12,49
2016-01,75
2016-02,78
2016-03,72
2016-04,63
2016-05,47
2016-06,38
2016-07,34
2016-08,38
2016-09,52
2016-10,55
2016-11,51
2016-12,48
2017-01,70
2017-02,75
2017-03,68
2017-04,62
2017-05,45
2017-06,38
2017-07,36
2017-08,39
2017-09,50
2017-10,59
2017-11,55
2017-12,45
2018-01,67
2018-02,66
2018-03,64
2018-04,61
2018-05,43
2018-06,36
2018-07,36
2018-08,43
2018-09,53
2018-10,56
2018-11,51
2018-12,44
2019-01,62
2019-02,63
2019-03,59
2019-04,54
2019-05,42
2019-06,35
2019-07,35
2019-08,39
2019-09,56
2019-10,57
2019-11,48
2019-12,41
2020-01,61
2020-02,62
2020-03,41
2020-04,32
2020-05,32
2020-06,30
2020-07,30
2020-08,34
2020-09,39
2020-10,38
2020-11,30
2020-12,31
2021-01,39
2021-02,39
2021-03,39
2021-04,36
2021-05,31
2021-06,26
2021-07,26
2021-08,29
2021-09,39
2021-10,41
2021-11,39
2021-12,33
2022-01,52
2022-02,57
2022-03,59
2022-04,55
2022-05,42
2022-06,34
2022-07,35
2022-08,40
2022-09,49
2022-10,51
2022-11,48
2022-12,41
2023-01,60
2023-02,62
2023-03,57
2023-04,52
2023-05,41
2023-06,37
2023-07,37
2023-08,42
2023-09,54
2023-10,58
2023-11,52
2023-12,46
2024-01,67
2024-02,69
2024-03,61
2024-04,57
2024-05,45
2024-06,38
2024-07,38
2024-08,45
2024-09,62
2024-10,66
2024-11,55
2024-12,50
2025-01,67
2025-02,72
2025-03,64
2025-04,60
2025-05,49
2025-06,45
2025-07,45
